ReferenceNumber,Make,PropulsionTypeId,BodyTypeId,GovRegion,KeeperTitleId,EngineSize,YearRegistered,Mass,CO2,CO,NOX,part,hc,Random number
2016,FORD,1,14,North West,1,998,2016,1177,99,0.355,0.041,0.001,0.067,0.658014502
2409,BMW,2,6,London,1,2993,2016,2265,173,0.191,0.049,,,0.510064969
1669,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.212138291
2679,VAUXHALL,1,14,London,5,1364,2016,1409,149,0.699,0.008,,0.044,0.498649703
3822,VAUXHALL,2,14,South West,1,1598,2016,1350,103,0.17,0.032,0.001,,0.565344457
2170,VAUXHALL,1,14,South West,1,1398,2016,1163,118,0.463,0.01,,0.031,0.466384508
2549,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.937954655
3636,VAUXHALL,1,14,South West,2,1398,2016,1163,118,0.463,0.01,,0.031,0.564425513
1293,VAUXHALL,1,14,London,1,1199,2002,1430,149,0.253,0.029,,0.054,0.237923909
871,TOYOTA,1,5,London,2,1794,2002,0,185,,,,,0.087065921
1469,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.117169256
1021,BMW,1,6,North West,1,4619,2002,2180,356,1.231,0.068,,0.169,0.493937716
693,TOYOTA,1,13,North West,2,1299,2002,1040,144,0.88,0.04,,0.1,0.720805567
2866,FORD,1,14,North West,5,999,2016,1382,125,0.451,0.036,0.001,0.072,0.870470007
1101,FORD,1,13,South West,2,1299,2002,965,154,0.395,0.103,,0.061,0.841828856
2931,BMW,2,6,South West,5,2993,2016,2185,159,0.161,0.057,,,0.682741106
338,FORD,1,6,South West,2,1596,2002,1180,163,0.518,0.059,,0.115,0.884701629
33,FORD,2,14,London,2,1753,2002,1280,145,0.109,0.489,0.044,0.018,0.98451073
3637,FORD,1,14,South West,1,1498,2016,1380,127,0.471,0.018,0.001,0.057,0.776960051
1834,FORD,1,13,North West,1,1596,2016,1211,138,0.3,0.01,0.001,0.052,0.441402237
1655,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.958666523
3395,BMW,2,5,South West,5,1995,2016,1825,136,0.144,0.035,,,0.626690072
1381,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.660305117
2622,VOLKSWAGEN,1,13,London,1,999,2016,1055,106,0.407,0.016,,0.034,0.34681107
1586,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.411381471
3772,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.968000548
1878,VAUXHALL,1,14,South West,5,1398,2016,1199,139,0.645,0.008,,0.044,0.676156114
250,BMW,1,5,South West,1,2979,2002,1505,218,0.269,0.009,,0.048,0.441629854
3604,TOYOTA,2,6,South West,5,1995,2016,1650,123,0.274,0.025,,,0.01805954
1613,BMW,2,6,South West,2,1995,2016,1820,139,0.144,0.035,,,0.006207099
861,FORD,1,3,South West,1,1596,2002,0,165,0.518,,,,0.67131848
979,VAUXHALL,1,14,North West,1,1598,2002,1660,171,0.695,0.019,,0.054,0.964446989
3519,FORD,2,14,South West,5,1997,2016,1642,109,0.177,0.042,,,0.406448058
583,TOYOTA,1,5,South West,1,1794,2002,1260,185,1.22,0.03,,0.13,0.779371587
424,VAUXHALL,1,6,South West,1,1598,2002,1730,175,0.695,0.019,,0.054,0.469393148
2332,VAUXHALL,1,13,London,2,1398,2016,1141,120,0.463,0.01,,0.031,0.564292048
3348,VOLKSWAGEN,1,14,London,2,1395,2016,1247,120,0.158,0.034,,0.028,0.089038467
1282,TOYOTA,1,14,South West,2,998,2002,0,137,0.43,,,,0.49731147
483,VAUXHALL,1,14,South West,1,1389,2002,1660,173,0.247,0.023,,0.094,0.961859918
1606,VAUXHALL,1,13,North West,5,1364,2016,1437,142,0.58,0.014,,0.034,0.945253224
2351,BMW,2,6,South West,5,1995,2016,1810,123,0.144,0.031,,,0.762672887
1970,FORD,2,14,North West,2,1499,2016,1183,82,0.358,0.062,,,0.356526393
1313,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.295125238
2500,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.012410117
3606,BMW,2,14,North West,2,1496,2016,1395,103,0.172,0.028,,,0.262394254
3500,VOLKSWAGEN,1,14,South West,2,1197,2016,1229,113,0.236,0.024,,0.026,0.51362636
2196,VOLKSWAGEN,1,14,South West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.917191401
3727,FORD,1,96,South West,2,998,2016,1327,119,0.32,0.045,0.001,0.051,0.838636184
170,VAUXHALL,1,14,North West,1,1389,2002,1660,173,0.247,0.023,,0.094,0.368880023
484,BMW,1,6,London,1,2979,2002,2095,310,0.582,0.015,,0.065,0.030271179
3647,VOLKSWAGEN,2,5,South West,1,1968,2016,1375,109,0.212,0.049,,,0.021636884
920,BMW,2,2,North West,2,1995,2002,1490,148,0.101,0.377,0.037,,0.933465305
2474,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.637830445
624,VAUXHALL,1,2,South West,1,3175,2002,2200,284,0.33,0.055,,0.132,0.987061064
1965,FORD,2,14,South West,5,1499,2016,1553,94,0.407,0.07,,,0.145792206
1472,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.686050342
3447,BMW,2,6,South West,5,1995,2016,1545,114,0.145,0.026,,,0.301289155
3305,VOLKSWAGEN,2,96,London,5,1968,2016,1843,136,0.052,0.06,,,0.123516299
1077,FORD,2,14,South West,1,1753,2002,1288,145,0.347,0.489,0.044,0.042,0.197695521
53,VOLKSWAGEN,1,13,London,1,1596,2002,1285,185,0.53,0.031,,0.055,0.643847548
2130,VOLKSWAGEN,1,13,North West,2,1984,2016,1382,139,0.341,0.056,,0.053,0.468014866
3126,VAUXHALL,1,14,South West,5,1398,2016,1163,120,0.463,0.01,,0.031,0.993049689
195,TOYOTA,1,13,London,1,998,2002,1040,137,0.43,0.03,,0.12,0.189722085
3526,TOYOTA,1,14,South West,5,998,2016,955,97,0.453,0.013,,0.032,0.679478764
492,FORD,1,14,London,2,1242,2002,1017,161,0.296,0.061,,0.054,0.554787605
448,VAUXHALL,1,14,South West,1,1199,2002,1455,154,0.211,0.031,,0.052,0.438569221
2467,BMW,1,14,South West,1,2979,2016,1525,175,0.613,0.019,,0.048,0.001731618
278,BMW,1,4,South West,2,2171,2002,1355,222,1.02,0.037,,0.127,0.917841159
1325,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.66092809
3428,VAUXHALL,2,14,North West,5,1598,2016,1613,129,0.013,0.033,,,0.382505432
3478,VOLKSWAGEN,2,5,South West,5,1968,2016,1395,119,0.143,0.036,,,0.154507653
3808,FORD,1,14,South West,5,1498,2016,1377,149,0.297,0.037,,0.034,0.78199273
2646,VOLKSWAGEN,1,14,London,2,999,2016,1055,106,0.407,0.016,,0.034,0.504069151
37,FORD,1,14,London,2,1388,2002,1105,153,0.644,0.048,,0.064,0.212915134
3662,BMW,8,2,South West,5,1998,2016,1735,49,0.082,0.006,,0.017,0.904431583
1808,VAUXHALL,1,14,North West,2,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.154225412
3661,VAUXHALL,1,6,South West,1,1399,2016,1322,130,0.644,0.017,0.002,0.057,0.140241533
1764,VAUXHALL,1,6,South West,5,1399,2016,1322,130,0.644,0.017,0.002,0.057,0.311388154
3492,BMW,2,6,South West,1,1995,2016,1605,119,0.142,0.032,,,0.903468268
1676,FORD,2,96,South West,5,1997,2016,1828,129,0.239,0.048,,,0.656573274
374,VOLKSWAGEN,1,2,London,1,1781,2002,1493,197,0.35,0.037,,0.032,0.736292396
2760,TOYOTA,8,6,North West,1,1798,2016,1490,83,0.182,0.005,,0.036,0.354333381
805,BMW,1,5,North West,1,2171,2002,1500,226,0.498,0.014,,0.105,0.09665167
11,TOYOTA,1,14,South West,2,1299,2002,1050,144,,0.04,,0.1,0.63841131
1778,VAUXHALL,1,96,London,1,1398,2016,1361,140,0.695,0.028,,0.05,0.957774766
3530,BMW,8,14,South West,1,647,2016,1390,13,0.053,0.002,,0.003,0.834992098
380,VOLKSWAGEN,2,6,North West,1,1896,2002,1565,154,0.151,0.382,0.023,,0.294170829
44,FORD,1,14,South West,1,1388,2002,1105,158,0.644,0.048,,0.064,0.375424625
3184,BMW,1,2,North West,1,1998,2016,1605,137,0.151,0.025,,0.04,0.968439497
605,FORD,1,14,London,1,1596,2002,1189,192,0.518,0.059,,0.115,0.049854522
806,VOLKSWAGEN,1,14,London,2,1200,2002,1120,142,0.474,0.015,,0.032,0.332953827
2902,FORD,1,14,North West,2,1242,2016,1095,122,0.518,0.027,,0.051,0.126405955
1761,FORD,2,14,South West,5,1499,2016,1399,98,0.354,0.074,,,0.994581522
899,VOLKSWAGEN,2,6,South West,1,1896,2002,1597,159,0.181,0.313,0.04,,0.244818276
749,VOLKSWAGEN,1,13,South West,1,1198,2002,1092,142,0.474,0.015,,0.032,0.265114557
522,BMW,1,5,London,1,2494,2002,1520,229,0.255,0.013,,0.086,0.909300004
3612,VOLKSWAGEN,1,14,South West,5,1197,2016,1107,107,0.157,0.039,,0.022,0.144917425
1477,BMW,8,6,South West,5,1997,2016,2305,77,0.185,0.015,,0.014,0.483916041
1728,VAUXHALL,1,14,North West,1,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.24623445
1743,VOLKSWAGEN,1,14,South West,5,1984,2016,1486,165,0.522,0.05,,0.053,0.917195007
14,FORD,1,14,London,2,1596,2002,1167,165,0.518,0.059,,0.115,0.686548934
2485,BMW,2,6,South West,5,1995,2016,1810,118,0.144,0.031,,,0.848968882
2275,VOLKSWAGEN,1,96,London,2,1395,2016,1362,125,0.158,0.034,,0.028,0.273021833
274,BMW,1,5,London,5,2979,2002,1540,230,0.447,0.013,,0.062,0.725272189
681,FORD,1,14,North West,2,1596,2002,1189,192,0.518,0.059,,0.115,0.548190421
1760,FORD,1,14,North West,1,999,2016,1333,108,0.447,0.03,0.002,0.076,0.485084837
501,FORD,1,14,North West,2,1242,2002,1017,161,0.296,0.061,,0.054,0.965316094
2772,BMW,2,2,North West,1,1995,2016,1705,109,0.144,0.031,,,0.352781646
1240,FORD,2,6,North West,1,1753,2002,1295,143,0.109,0.489,0.044,0.018,0.211074303
1672,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.680588049
1597,BMW,2,2,North West,1,1995,2016,1705,109,0.144,0.031,,,0.543984121
1002,FORD,1,14,London,2,1388,2002,1163,158,0.662,0.052,,0.137,0.459041909
3364,VOLKSWAGEN,2,6,South West,5,1968,2016,1503,110,0.137,0.067,,,0.619718262
1890,VOLKSWAGEN,1,13,London,1,1984,2016,1495,159,0.609,0.047,,0.06,0.583550768
3747,VAUXHALL,1,13,South West,2,1398,2016,1141,118,0.463,0.01,,0.031,0.001536576
2283,BMW,2,6,South West,1,2993,2016,1945,157,0.206,0.052,,,0.590867891
2653,VAUXHALL,1,14,London,5,1399,2016,1308,127,0.484,0.006,0.002,0.037,0.297995341
783,BMW,1,2,North West,1,2494,2002,1485,217,0.494,0.017,,0.079,0.166876508
2818,FORD,1,14,North West,1,998,2016,1335,125,0.428,0.037,0.001,0.053,0.002290503
3098,FORD,1,13,South West,5,998,2016,1170,99,0.355,0.041,0.001,0.067,0.982307894
1108,BMW,1,4,London,4,2979,2002,1660,229,0.269,0.009,,0.048,0.179153664
755,FORD,1,14,South West,5,1388,2002,1163,158,0.662,0.052,,0.137,0.055604546
3113,BMW,1,2,South West,1,2979,2016,1635,194,0.139,0.035,,0.035,0.357353279
1432,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.575509101
3377,VAUXHALL,2,14,North West,1,1598,2016,1613,129,0.013,0.033,,,0.827569939
1542,VAUXHALL,1,14,South West,1,999,2016,1263,102,0.328,0.026,0.002,0.028,0.552088853
3520,VAUXHALL,2,96,South West,5,1598,2016,1701,109,0.295,0.053,,,0.827023654
2929,FORD,2,14,South West,5,1997,2016,1642,112,0.177,0.042,,,0.156444649
2294,VOLKSWAGEN,2,96,London,1,1968,2016,1845,138,0.062,0.064,,,0.464597919
155,TOYOTA,2,6,North West,1,1995,2002,1505,161,0.33,0.49,0.044,,0.999396251
3067,BMW,8,5,London,1,1499,2016,1560,49,0.176,0.011,,0.007,0.801356743
481,FORD,2,14,South West,2,1399,2002,1166,121,0.154,0.423,0.036,,0.070629755
974,VAUXHALL,1,13,North West,2,973,2002,1430,135,0.342,0.048,,0.06,0.774894178
3297,VOLKSWAGEN,1,13,South West,2,999,2016,929,105,0.457,0.013,,0.039,0.932841096
2399,FORD,1,96,London,1,998,2016,1327,119,0.32,0.045,0.001,0.051,0.693950045
554,TOYOTA,1,14,London,1,1299,2002,1000,160,0.7,0.05,,0.12,0.715959633
197,FORD,1,2,North West,1,1988,2002,1261,222,0.698,0.058,,0.056,0.793116418
3183,FORD,2,14,North West,1,1997,2016,1681,122,0.145,0.059,0.001,,0.413769285
2861,FORD,1,14,North West,1,1242,2016,1095,122,0.518,0.027,,0.051,0.399830094
3042,BMW,2,6,North West,5,1995,2016,1505,109,0.222,0.037,,,0.051860412
1190,BMW,2,3,South West,1,2926,2002,0,178,0.327,,,,0.232398599
797,BMW,1,2,London,2,2979,2002,1540,230,0.447,0.013,,0.062,0.685937029
993,VOLKSWAGEN,1,13,South West,2,1198,2002,1103,142,0.68,0.042,,0.03,0.109105112
1238,VOLKSWAGEN,2,13,South West,1,1896,2002,1352,140,0.081,0.376,0.029,,0.897649371
766,VOLKSWAGEN,1,14,London,2,1198,2002,1132,142,0.474,0.015,,0.032,0.858071092
2202,VAUXHALL,1,14,South West,2,1598,2016,1355,159,0.809,0.012,,0.051,0.487959879
2471,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.369911243
2994,FORD,1,14,North West,1,999,2016,1329,105,0.436,0.03,0.001,0.065,0.554261893
2292,FORD,2,14,North West,5,1997,2016,1642,107,0.183,0.046,,,0.021196859
3632,VOLKSWAGEN,1,14,South West,1,1197,2016,1107,107,0.157,0.039,,0.022,0.90260274
1199,VOLKSWAGEN,1,14,South West,2,1598,2002,0,166,0.259,0.043,1.276,0.056,0.783038749
1796,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.876689664
1040,TOYOTA,1,13,London,1,998,2002,1040,137,0.43,0.03,,0.12,0.759353201
2910,FORD,1,14,North West,1,1242,2016,1095,122,0.518,0.027,,0.051,0.020021503
547,VOLKSWAGEN,1,13,North West,1,1781,2002,1324,190,0.667,0.03,,0.054,0.517156356
3191,BMW,1,14,North West,1,2979,2016,1525,175,0.613,0.019,,0.048,0.717519468
2426,FORD,2,14,South West,5,1499,2016,1183,82,0.358,0.062,,,0.553752161
3205,FORD,2,96,North West,5,1499,2016,1619,129,0.259,0.065,,,0.512773194
382,VOLKSWAGEN,2,14,South West,1,1896,2002,1414,146,0.177,0.363,0.024,,0.379052851
199,TOYOTA,1,14,North West,1,1398,2002,1285,159,0.47,0.02,,0.07,0.087286102
84,VOLKSWAGEN,1,14,London,1,1198,2002,1132,142,0.474,0.015,,0.032,0.529271255
2306,VOLKSWAGEN,2,2,South West,5,1968,2016,1475,106,0.137,0.067,,,0.369960677
649,FORD,1,14,North West,2,1388,2002,1163,158,0.662,0.052,,0.137,0.492971028
2405,FORD,1,14,London,5,1498,2016,1377,149,0.297,0.037,,0.034,0.610742988
1436,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.751539468
1687,VAUXHALL,1,13,North West,1,1398,2016,1141,120,0.463,0.01,,0.031,0.866779356
2334,BMW,2,6,London,1,1995,2016,1605,115,0.142,0.032,,,0.691605372
2754,VOLKSWAGEN,1,14,South West,5,1984,2016,1505,159,0.609,0.047,,0.06,0.236297236
3058,FORD,1,96,South West,5,999,2016,1449,117,0.473,0.035,0.003,0.056,0.614820973
1501,VAUXHALL,1,14,North West,1,1598,2016,1355,159,0.809,0.012,,0.051,0.955405965
680,VOLKSWAGEN,1,13,North West,2,1390,2002,1170,156,0.165,0.047,,0.075,0.047909491
745,FORD,1,14,London,4,1388,2002,1105,153,0.644,0.048,,0.064,0.224850154
2194,VAUXHALL,1,13,South West,2,1364,2016,1199,132,0.644,0.014,,0.025,0.601907495
1352,VOLKSWAGEN,2,96,South West,5,1968,2016,1868,159,0.178,0.051,,,0.65879322
3005,FORD,1,14,North West,1,999,2016,1329,105,0.436,0.03,0.001,0.065,0.887994599
2501,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.913216875
1642,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.846595702
3741,FORD,1,14,South West,1,999,2016,1329,105,0.436,0.03,0.001,0.065,0.386463583
2999,VAUXHALL,2,6,North West,5,1598,2016,1393,96,0.243,0.029,,,0.245423212
660,FORD,1,14,North West,1,1388,2002,1097,153,0.562,0.026,,0.08,0.953348006
10,VOLKSWAGEN,2,14,North West,4,1896,2002,0,146,0.081,,,,0.478768916
1936,TOYOTA,8,14,London,4,1798,2016,1470,70,0.131,0.016,,0.033,0.421313256
2458,FORD,1,14,London,5,999,2016,1382,125,0.451,0.036,0.001,0.072,0.85738591
2076,TOYOTA,1,14,North West,2,998,2016,955,95,0.59,0.008,,0.033,0.903087965
2935,VAUXHALL,1,14,North West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.384686721
3383,VOLKSWAGEN,1,14,South West,2,999,2016,1055,108,0.535,0.012,,0.039,0.109900675
1081,VOLKSWAGEN,1,13,South West,2,999,2002,983,139,0.209,0.025,,0.071,0.605317531
2104,FORD,2,6,South West,5,1499,2016,1575,99,0.407,0.07,,,0.58668111
2441,VAUXHALL,1,13,London,2,1229,2016,1086,125,0.474,0.013,,0.038,0.035083737
2055,FORD,1,14,London,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.172021739
3807,FORD,2,14,South West,5,1997,2016,1642,109,0.177,0.042,,,0.508327546
762,VOLKSWAGEN,2,14,South West,1,1896,2002,1397,146,0.081,0.376,0.029,,0.6726768
2597,FORD,1,14,London,2,1242,2016,1095,122,0.518,0.027,,0.051,0.332893034
124,FORD,1,14,South West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.71390793
2783,BMW,1,14,North West,1,1499,2016,1395,119,0.215,0.01,,0.037,0.080431844
2393,VAUXHALL,2,14,London,5,1598,2016,1613,109,0.035,0.026,,,0.879795041
2127,BMW,2,4,South West,2,1995,2016,1790,124,0.128,0.023,,,0.734102925
1188,VAUXHALL,1,13,North West,1,1199,2002,1455,149,0.253,0.029,,0.054,0.867759495
3453,BMW,1,2,London,4,1998,2016,1505,138,0.213,0.022,,0.053,0.743964533
3779,BMW,2,6,South West,1,1995,2016,1625,129,0.103,0.018,,,0.528414936
1254,TOYOTA,1,14,London,1,1299,2002,0,160,0.7,0.05,,0.12,0.261118213
2606,FORD,2,96,London,2,1997,2016,1849,149,0.179,0.039,,,0.008867833
259,VAUXHALL,1,96,North West,4,1598,2002,1970,190,0.219,0.026,,0.037,0.530432044
888,BMW,1,4,South West,1,2979,2002,0,244,0.447,,,,0.965658114
2157,VAUXHALL,1,14,London,5,1364,2016,1409,149,0.699,0.008,,0.044,0.852865379
2740,VAUXHALL,1,13,North West,5,1364,2016,1471,154,0.362,0.015,,0.027,0.019546185
2269,VAUXHALL,2,14,South West,5,1598,2016,1350,97,0.243,0.029,,,0.684712862
2141,BMW,1,13,South West,5,1499,2016,1375,126,0.164,0.016,,0.041,0.873566474
3595,FORD,2,96,North West,5,1499,2016,1596,119,0.353,0.076,0.001,,0.370378217
1259,FORD,1,14,South West,1,1798,2002,1396,187,0.375,0.091,,0.077,0.235350274
515,VOLKSWAGEN,1,2,South West,1,2771,2002,1729,264,0.295,0.012,,0.058,0.180453634
3351,VOLKSWAGEN,2,2,South West,5,1968,2016,1549,119,0.081,0.058,,,0.209021852
2735,TOYOTA,8,14,South West,5,1798,2016,1470,70,0.131,0.016,,0.033,0.782534905
774,VOLKSWAGEN,2,14,North West,1,1896,2002,0,138,0.025,0.33,1.379,,0.431697322
499,TOYOTA,1,6,London,2,1299,2002,0,144,0.88,0.04,,0.1,0.900287689
1886,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.769872793
3362,FORD,2,96,South West,5,1997,2016,1643,119,0.278,0.051,,,0.257983914
3345,VOLKSWAGEN,2,14,South West,5,1968,2016,1373,112,0.1,0.07,,,0.916321731
2401,FORD,1,14,London,2,998,2016,1177,99,0.355,0.041,0.001,0.067,0.263082905
3360,FORD,2,14,South West,5,1997,2016,1642,107,0.183,0.046,,,0.787062753
3686,FORD,1,14,South West,2,998,2016,1177,99,0.355,0.041,0.001,0.067,0.019266403
3334,VAUXHALL,1,13,South West,5,1598,2016,1278,174,0.519,0.026,,0.034,0.747356257
71,FORD,1,14,South West,2,1596,2002,1167,165,0.518,0.059,,0.115,0.338718497
615,BMW,1,5,South West,1,2494,2002,0,217,0.494,,,,0.574389703
161,VAUXHALL,1,96,North West,1,1998,2002,2065,243,0.39,0.047,,0.073,0.618973446
990,VOLKSWAGEN,1,14,South West,5,1198,2002,1153,142,0.68,0.042,,0.03,0.142522375
244,FORD,1,14,London,4,1242,2002,1017,161,0.296,0.061,,0.054,0.370325361
1399,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.803957328
915,BMW,2,6,London,1,2926,2002,0,186,0.323,,,,0.112130141
2027,FORD,2,14,South West,5,1499,2016,1183,82,0.358,0.062,,,0.232034742
